,ATVI,ADBE,AMD,ALGN,ALXN,AMZN,AMGN,AAL,ADI,AAPL,AMAT,ASML,ADSK,ADP,AVGO,BIDU,BIIB,BMRN,CDNS,CELG,CERN,CHKP,CHTR,CTRP,CTAS,CSCO,CTXS,CMCSA,COST,CSX,CTSH,DLTR,EA,EBAY,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HSIC,ILMN,INCY,INTC,INTU,ISRG,IDXX,JBHT,JD,KLAC,KHC,LRCX,LBTYA,LBTYK,LULU,MELI,MAR,MCHP,MDLZ,MNST,MSFT,MU,MXIM,MYL,NTAP,NFLX,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,BKNG,PYPL,PEP,QCOM,REGN,ROST,SIRI,SWKS,SBUX,SYMC,SNPS,TTWO,TSLA,TXN,TMUS,ULTA,UAL,VRSN,VRSK,VRTX,WBA,WDC,WDAY,WLTW,WYNN,XEL,XLNX
2019-03-02,0.05694444444444444,0.13403030303030303,0.16212121212121214,0,0,0.08684941951987406,0.05694444444444444,0.10333333333333332,0,0.18528350353350354,0.19954545454545453,0,0.03571428571428571,0.15555555555555556,-0.05,0.19011363636363637,0,0.0,0.19999999999999998,0.024949494949494944,0.37222222222222223,0.35,0,0,0.3181818181818182,0.16759469696969698,0,0.028598484848484856,0.09415584415584415,0,0,-0.2,-0.009285714285714296,0.15283161976911974,0.004166666666666652,0.0,0.1131514671395624,0,0.12735312306740879,0,0.13472222222222222,0,0.13333333333333333,0.07694316678691679,0,0,0,0.06261363636363637,0.10593939393939393,0,0,0,0.02046485260770975,0,0.14293630751964084,0.19954545454545453,0,0,0,0.17222222222222222,0.12181818181818183,0,0.0,0.08,0.12203404928404926,0.1340909090909091,0,0.049999999999999996,0.06674783549783549,0.08948232323232323,0,0.09856481481481483,0,-0.13333333333333333,0,0,0.0,0,0.1075,0.05254545454545456,0.057638888888888885,0.35,0.041666666666666664,0.0,0.14415584415584415,0.1722222222222222,0.22499999999999998,0.037500000000000006,0.11210807954229007,-0.018749999999999996,-0.05000000000000001,0.11682900432900434,0.12424242424242425,0,0,0.8,0.0754005681818182,-0.07833333333333334,0.08333333333333333,-0.4,0.16333333333333333,0.0,-0.11400252525252529
2019-03-02,3,2,1,0,0,33,4,5,0,39,1,0,7,3,2,4,0,3,2,11,1,1,0,0,1,4,0,6,4,0,0,1,10,100,4,1,39,0,7,0,2,0,1,24,0,0,0,6,1,0,0,0,7,0,18,1,0,0,0,1,5,0,1,5,13,1,0,2,2,9,0,6,0,2,0,0,2,0,5,5,6,1,2,1,3,6,2,2,57,2,2,11,3,0,0,1,10,2,6,1,5,3,4
