,AXP,AAPL,BA,CAT,CSCO,CVX,DWDP,XOM,GS,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WBA,WMT,DIS
2019-03-02,-0.01259469696969697,0.1386095553751804,0.038813089225589244,0.06113045634920634,0.02786705553901321,0.1045343992924638,0,0.0014748530602189114,0.035730577666061525,0.04819523045434502,0.0913151352813853,0.18528184624017952,0.18476064997804129,0.09045985060690942,-0.007870977819431432,0.08706106479254627,0.01108305274971942,0.1800172258297258,0.022193181818181817,-0.028834498834498835,0.14654174397031539,0.07735095058327382,-0.10000000000000002,-0.006987562701848441,0.10205099778270511,0.09675162337662338,0.0288025493025493,-0.01652027027027027,0.03937624470546465,0.09362373737373737
2019-03-02,28,100,100,100,81,62,0,82,62,96,100,90,23,51,97,81,54,40,100,78,70,99,3,98,41,100,60,37,99,24
